Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6,Distance7,Beta7,Phi7,Fermi_contact7,Distance8,Beta8,Phi8,Fermi_contact8,Distance9,Beta9,Phi9,Fermi_contact9,Distance10,Beta10,Phi10,Fermi_contact10,Distance11,Beta11,Phi11,Fermi_contact11,Distance12,Beta12,Phi12,Fermi_contact12
4.6723,0.21424,-2.8665,-0.00121,5.9755,-0.083215,3.132,0.00436,4.181,-0.66312,-0.97173,0.10861,3.72,-1.1225,-1.7312,0.25295,5.1097,1.3598,0.88932,0.03718,7.5836,1.3442,0.89422,-0.00078,4.9904,0.85514,-0.96447,0.01912,7.4182,0.86835,-0.85385,0.00212,6.2997,-0.79223,1.2076,-0.0094,6.7887,-1.1698,1.2874,0.02856,3.4721,0.27361,-1.7541,-0.09118,5.4545,-0.10949,-1.8102,0.00903
5.1731,0.24075,-2.8919,-0.00063,6.3208,0.054505,3.0482,0.01177,3.3395,-0.50343,-1.063,0.00996,3.4291,-1.2355,-1.4869,-0.08845,5.3503,1.2091,1.4283,0.05102,7.9262,1.1938,1.0551,-0.00065,6.3253,-0.73583,-3.0174,0.01585,5.553,-0.49298,-2.6259,0.0044,4.6008,0.99863,-0.72406,0.02289,7.0827,0.94039,-0.58998,-0.0007,4.3503,0.36865,-1.9838,0.02655,5.287,0.020125,-1.6154,0.00257
5.6261,0.12137,-3.0715,-0.00396,7.3439,-0.011964,2.9243,-0.00177,3.2656,-0.95032,-1.2103,0.82104,4.6718,-1.384,-2.2634,-0.03253,5.5086,1.3177,1.5819,0.02453,7.7166,1.2772,1.0894,0.00051,3.7004,0.91758,-1.2564,0.56232,5.9196,0.88241,-0.81569,0.05595,7.1043,-0.11485,-0.080609,0.00552,5.3112,-0.36885,-0.19932,0.11396,6.0513,-0.83401,1.1995,-0.01635,6.7426,-1.0961,1.7095,0.01705
3.7506,-1.0583,-1.627,0.84274,5.3348,-1.2567,-2.6776,0.02203,4.4579,1.4743,1.6768,-0.06371,6.8313,1.3914,1.0487,0.00038,3.175,0.51962,-1.6445,0.66613,5.031,0.73285,-1.1959,-0.02931,6.7912,-0.19861,-0.29994,0.00305,5.5743,-0.55095,-0.39908,0.0115,5.8274,0.68428,3.0892,0.38267,8.3021,0.68445,3.1159,0.02936,4.683,-0.14797,-2.2329,-0.00235,6.2228,-0.3706,-1.9386,-0.00068
3.3678,-0.75678,-1.5282,2.2894,5.1195,-1.071,-2.1103,-0.00146,4.8138,1.3898,0.50895,-0.02636,7.3047,1.2094,0.64948,0.00061,3.9772,0.65737,-1.2202,0.10733,5.8025,0.68407,-0.74351,-0.00283,6.6847,-0.23812,-0.19518,0.00375,4.7573,-0.38486,-0.47699,-0.0141,5.3949,-0.93045,1.3209,0.15396,7.106,-0.95227,1.8493,0.01451,4.9545,0.12942,-1.9851,-0.00227,6.4383,-0.18867,-1.7725,-0.00044
3.5098,-0.99572,-1.3366,0.98227,5.4642,-1.0729,-1.9982,0.12392,5.1833,1.1219,0.5702,0.27933,7.1433,0.91214,0.37699,0.0011,4.1791,0.48523,-0.67767,-0.04318,6.4741,0.39253,-0.49821,-7e-05,5.31,1.3402,-2.6204,-0.0054,7.3417,1.0942,-3.0028,0.00044,5.2219,-1.0642,1.8009,0.61573,6.7925,-0.87504,2.2601,0.0547,4.5159,0.0056998,-1.5681,-0.00753,6.5396,-0.2537,-1.4609,-0.00046
4.7145,0.37065,-2.7894,-0.00508,6.7884,0.1831,-2.9988,-0.0006,3.7637,-0.93512,-0.98882,0.47069,5.9072,-1.0747,-1.485,0.02892,6.046,1.1899,0.66433,0.06731,7.9409,0.97009,0.41211,0.00414,4.3646,0.4207,-0.56431,0.03022,6.7112,0.31623,-0.38847,0.0063,4.7993,-1.0674,1.6532,0.30421,6.5504,-0.91006,2.2177,0.00792,4.5702,0.032794,-1.4665,0.00127,6.303,-0.29646,-1.397,0.00063
4.6405,0.39616,-2.6951,0.03473,5.6822,0.15625,-3.0856,0.01282,3.6707,-0.61613,-0.82826,0.0233,5.9464,-0.82304,-1.0226,0.02139,5.8552,1.2155,0.67792,0.18608,8.0101,1.0318,0.55156,0.00279,4.0055,0.4871,-0.65582,0.11245,6.3592,0.49052,-0.47166,0.01217,4.2153,-1.2291,1.2607,0.28206,5.4942,-0.83281,1.8261,0.04767,5.0467,0.045695,-1.6004,0.00113,6.4359,-0.29097,-1.4485,0.00154
4.4863,0.21764,-2.7115,-0.00405,5.9661,0.077373,-3.0967,-0.00879,4.5416,-0.764,-0.62664,-0.00765,6.6703,-0.87581,-0.94574,-0.00102,5.2461,1.22,0.16587,0.01251,7.4956,1.0364,0.29941,0.00085,3.7066,0.27249,-0.82844,-0.08158,5.9697,0.43049,-0.61971,-0.00707,5.6112,1.0404,-2.5596,-0.00183,6.6502,1.0079,2.9615,0.02345,4.8096,-1.3234,1.9463,0.49798,5.906,-0.90216,1.8233,0.06944
4.9836,0.13178,-2.7412,-0.00423,5.9045,-0.022032,3.1217,0.00794,4.3802,-0.6293,-0.62407,0.00678,6.4144,-0.78769,-0.93313,-0.00118,5.2518,1.2204,-0.0063778,0.12198,7.3399,0.99832,0.16,0.00356,3.6361,0.36513,-0.76063,-0.0594,5.839,0.44729,-0.50235,-0.00525,5.8044,1.0812,-2.5779,-0.00267,6.6746,0.96827,2.9858,0.02161,4.2235,-1.213,1.772,-0.09346,6.145,-0.94682,1.9977,-0.01934
5.3038,-0.11269,-2.7442,0.00877,6.696,-0.11061,-3.0982,0.00725,4.7668,-0.72869,-0.79429,0.03943,6.795,-0.97568,-0.67036,-0.00091,4.9286,1.0379,-0.049341,0.17565,7.025,1.031,0.40486,0.00896,3.5789,0.29491,-0.79631,-0.10234,5.8813,0.3832,-0.49689,-0.00915,5.0289,1.1705,-2.4901,-0.01424,6.1052,0.91315,-3.1375,0.04595,4.6626,-1.2213,1.3224,0.10662,6.7859,-1.0702,1.842,-0.00196
4.6144,-0.67217,-0.59822,0.05388,6.7389,-0.91759,-0.45942,-0.00478,5.3579,1.2877,-0.36785,0.04318,7.2143,1.2179,0.4652,0.00291,3.6612,0.3687,-0.7461,0.04178,5.6834,0.53971,-0.46347,-0.00489,4.5947,0.94138,-2.553,0.04183,5.497,0.67938,3.1328,0.10566,4.543,-1.0382,1.3612,0.46377,6.7761,-0.80633,1.5354,0.00915,4.9119,-0.38717,-1.5662,0.00667,7.393,-0.46988,-1.4678,0.0002
6.8386,0.27444,-2.4397,-1e-05,5.3244,-0.022027,-2.2757,-0.0008,3.6645,-0.76073,-0.71665,0.76761,5.9793,-0.97312,-0.6482,0.01329,3.5036,0.38225,-0.9387,0.21606,5.879,0.48797,-0.73787,-4e-05,4.6537,0.77623,-2.762,0.01812,6.3364,0.81479,3.0024,0.03636,5.1812,-0.94955,1.6707,0.41955,6.612,-0.59356,1.6864,-0.01128,4.6308,-0.22486,-1.6119,0.00271,6.8618,-0.43023,-1.5392,-0.00014
5.5837,0.093265,-3.0258,0.01248,7.866,0.24456,-3.1026,-0.00037,8.1055,-0.48608,1.1787,0.00269,6.5799,-0.74567,1.0876,0.00716,3.7983,-0.84622,-0.84551,0.09985,5.835,-1.1129,-1.0439,0.02249,3.4696,0.33862,-0.70588,-0.27875,5.8073,0.41259,-0.49884,-0.02371,5.5993,-0.96062,2.0096,0.08558,7.5517,-0.73496,1.9662,0.00299,5.0591,-0.18316,-1.6754,-0.00125,7.2927,-0.30779,-1.4863,-0.00039
7.9917,-0.51374,1.4403,0.00653,6.1079,-0.6949,1.2328,0.02289,3.7088,-1.0927,-1.2435,0.18068,6.1104,-0.9913,-1.6799,-0.00304,5.3901,0.96174,-0.15474,0.16024,6.5067,0.58901,-0.037879,0.007,3.6562,0.2497,-0.8979,0.10513,5.7407,0.10889,-0.63833,0.00479,4.854,1.1981,-2.0707,0.00816,5.7916,1.1512,3.0107,0.06673,5.9191,-0.72973,2.245,0.02267,8.3026,-0.63864,2.0793,0.00279
5.7595,0.25438,2.8744,0.0274,8.1333,0.19769,2.9512,0.00608,7.8587,-0.60102,1.5772,-0.00095,6.2655,-0.85416,1.7807,0.03196,3.4673,-0.88151,-1.6034,0.71278,5.4008,-0.53088,-1.694,0.00531,4.2753,0.38003,-0.79646,0.10226,6.4199,0.12806,-0.6663,0.00951,3.8949,1.1572,-1.5795,0.94774,5.8071,1.3793,-2.5356,0.01286,5.7537,-0.76751,2.6345,0.02768,7.2539,-0.53933,2.3499,0
