Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6
6.4111,0.058907,-2.4405,-0.00019,4.5999,-1.029,-0.50648,-0.00146,4.6238,0.32945,-0.66006,0.04184,5.1754,0.94681,-3.1121,0.00014,6.2868,-0.80296,1.8036,0.01972,5.6787,-0.3256,-1.4302,0.00039
6.4069,0.3009,-3.0809,0.00559,6.7407,-0.55824,1.2316,-0.00241,4.3815,-1.1235,-1.1782,-0.01581,4.5771,0.25841,-0.48155,0.05097,6.6677,-0.8014,2.1724,0.0151,6.0026,-0.20293,-1.4507,-1e-05
6.5345,-0.53642,1.4416,-0.00405,4.8022,-1.1057,-1.8203,0.02006,5.9659,0.72739,-0.25444,-0.00631,4.3931,-0.011455,-0.67803,0.02891,4.841,1.361,-3.0658,-0.01068,7.2723,-0.64414,2.2584,0.00638
7.0053,0.3156,2.9805,-0.01217,6.6246,-0.63136,1.7164,-0.00144,4.6299,-0.73817,-1.87,0.14414,4.9053,0.11473,-0.65836,-0.00201,4.5128,1.4755,-1.6843,-0.05438,6.7251,-0.59411,2.5778,-0.00058
6.5956,-0.5714,1.753,-0.00415,4.8275,-0.79954,-1.8714,0.11847,5.5864,-0.24642,-2.7861,-0.00102,5.4265,0.10649,-0.52786,0.00178,6.0457,-0.95843,0.015078,-0.00012,4.7781,1.4038,-1.553,-0.03554
6.0073,-0.61932,1.5307,-0.00382,4.8073,-0.61852,-2.1352,0.27096,6.3325,-0.20027,-3.0563,-0.00078,5.1242,0.40153,-0.86267,-0.00724,5.2557,-0.90503,-0.51886,-0.00194,5.0063,1.222,2.9239,0.01409
4.6136,-0.52198,-2.0175,-0.02381,6.7173,1.1451,-0.38381,0.02468,6.619,-0.088964,-2.9682,-0.0006,5.0468,0.35386,-0.89664,0.01325,4.9921,-0.86989,-0.32298,0.00402,6.9484,0.016594,0.053429,0.00013
7.6625,0.36285,1.0068,-0.00071,4.7799,-0.48418,-2.1064,0.1589,6.7504,1.1278,-0.13457,0.01196,6.9368,-0.079418,-2.9555,0.00359,4.5593,0.59772,-0.74507,-0.00732,4.7923,-0.8613,-0.32807,0.0001
5.8759,-0.75765,1.5951,0.00171,4.5721,-0.10352,-2.2214,-0.14099,7.3088,-0.023165,-3.0113,0.00413,4.6169,0.83143,-0.66519,-0.03598,4.4231,-0.58269,-0.63315,-0.0019,6.1768,-0.029117,0.052975,0.0007
5.6982,-0.6979,1.3938,-0.00253,5.139,-0.35402,-2.0207,0.02914,6.6977,1.3888,1.1516,0.00021,5.1443,0.73336,-1.0663,-0.00974,4.8798,-0.58874,-0.53865,-0.00365,5.459,0.23874,0.084732,0.00565
5.6209,-0.75672,1.4119,0.00193,4.9371,-0.33049,-2.0675,-0.04508,5.0528,0.69119,-1.0738,-0.00093,4.9586,-0.69672,-0.65371,0.00111,5.5285,0.15029,0.00025355,-0.00197,6.4291,0.86272,2.4364,0.01815
